"","symbol","date","open","high","low","close","volume","adjusted"
"1","BA",2019-12-06,347.73999,354.399994,347.109985,354.089996,2856100,351.995728
"2","BA",2019-12-09,352.670013,353.600006,349.570007,351.209991,2844600,349.132751
"3","BA",2019-12-10,350.149994,351.399994,347.450012,347.899994,2920900,345.842346
"4","BA",2019-12-11,342.100006,350.029999,338.5,350,7369100,347.929932
"5","BA",2019-12-12,348.25,351.070007,341,346.290009,5970000,344.241882
"6","BA",2019-12-13,346.299988,349.309998,341.100006,341.670013,4526300,339.6492
"7","BA",2019-12-16,328.529999,336.230011,326.429993,327,16488200,325.065948
"8","BA",2019-12-17,322.059998,330.950012,320.609985,327,13526400,325.065948
"9","BA",2019-12-18,328.720001,335.25,328.140015,330.679993,7029300,328.724182
"10","BA",2019-12-19,332.899994,334.809998,330.980011,333.5,5492600,331.527496
"11","BA",2019-12-20,334.619995,335.5,328,328,9489400,326.060028
"12","BA",2019-12-23,336.75,340.589996,334.200012,337.549988,9534800,335.553558
"13","BA",2019-12-24,339.51001,339.75,332.619995,333,4120100,331.030457
"14","BA",2019-12-26,332.700012,333.359985,329.299988,329.920013,4593400,327.968689
"15","BA",2019-12-27,330.200012,333.649994,329.170013,330.140015,4124000,328.187408
"16","BA",2019-12-30,330.5,330.630005,325.709991,326.399994,4525500,324.469513
"17","BA",2019-12-31,325.410004,326.570007,323.320007,325.76001,4958800,323.833313
"18","BA",2020-01-02,328.549988,333.350006,327.700012,333.320007,4544400,331.348572
"19","BA",2020-01-03,330.630005,334.890015,330.299988,332.76001,3875900,330.791901
"20","BA",2020-01-06,329.299988,334.859985,327.880005,333.73999,5355000,331.766083
"21","BA",2020-01-07,334.26001,344.190002,330.709991,337.279999,9898600,335.285156
"22","BA",2020-01-08,332.399994,334.029999,329.600006,331.369995,8239200,329.410095
"23","BA",2020-01-09,334.950012,341.730011,332.049988,336.339996,8175600,334.350708
"24","BA",2020-01-10,335.559998,337.700012,329.450012,329.920013,7161700,327.968689
"25","BA",2020-01-13,332.399994,334.100006,330.079987,330.220001,5648500,328.266907
"26","BA",2020-01-14,330.76001,335.350006,328.279999,332.350006,6945300,330.384308
"27","BA",2020-01-15,332.350006,333.109985,329.690002,329.799988,4578300,327.849396
"28","BA",2020-01-16,331.049988,332.869995,329.309998,332,4024100,330.036377
"29","BA",2020-01-17,332.390015,332.5,323,324.149994,11061700,322.232819
"30","BA",2020-01-21,322.600006,326.600006,305.75,313.369995,19318000,311.516571
"31","BA",2020-01-22,309.820007,312.839996,302.720001,309,18792600,307.172424
"32","BA",2020-01-23,308.5,318.170013,307.700012,317.790009,9702100,315.910431
"33","BA",2020-01-24,322,326.200012,312.51001,323.049988,17798200,321.139313
"34","BA",2020-01-27,316.209991,321.26001,314.579987,316.600006,7468100,314.727478
"35","BA",2020-01-28,318.049988,319.359985,314,316.559998,5502200,314.687714
"36","BA",2020-01-29,324.350006,327.179993,319.140015,322.019989,12454700,320.115387
"37","BA",2020-01-30,320.5,325.350006,317.640015,323.299988,6022000,321.387817
"38","BA",2020-01-31,321.75,321.929993,316.98999,318.269989,4999600,316.387573
"39","BA",2020-02-03,318.75,320.73999,314.880005,316,4847700,314.131012
"40","BA",2020-02-04,318.279999,319.480011,315.029999,317.940002,3779800,316.05954
"41","BA",2020-02-05,320.5,329.679993,319.230011,329.549988,6071800,327.600861
"42","BA",2020-02-06,330.910004,343.440002,325.660004,341.429993,12845500,339.410614
"43","BA",2020-02-07,340.369995,340.73999,335.690002,336.75,5337800,334.758301
"44","BA",2020-02-10,337.220001,345.940002,336.320007,344.670013,5876400,342.63147
"45","BA",2020-02-11,347.640015,348.070007,342.100006,344.420013,5311500,342.382935
"46","BA",2020-02-12,346.420013,349.950012,345.850006,347.450012,4421500,345.39502
"47","BA",2020-02-13,344.320007,347.890015,342.630005,342.820007,3783100,342.820007
"48","BA",2020-02-14,342.299988,344.5,338,340.48999,4199800,340.48999
"49","BA",2020-02-18,338.769989,339.98999,336.100006,338.880005,2904600,338.880005
"50","BA",2020-02-19,338.119995,341.470001,335.859985,338.299988,4935700,338.299988
"51","BA",2020-02-20,338.290009,341.23999,335.390015,336.279999,2807500,336.279999
"52","BA",2020-02-21,334.049988,334.660004,330.230011,330.380005,3709900,330.380005
"53","BA",2020-02-24,320,321.73999,316.329987,317.899994,6073200,317.899994
"54","BA",2020-02-25,318.26001,320.640015,303.630005,304.140015,8052500,304.140015
"55","BA",2020-02-26,307,315.220001,304.059998,305.589996,6987300,305.589996
"56","BA",2020-02-27,300.369995,301,284.290009,287.76001,10982400,287.76001
"57","BA",2020-02-28,278.070007,282.859985,269.600006,275.109985,15375100,275.109985
"58","BA",2020-03-02,279.540009,291.709991,274.290009,289.269989,11012300,289.269989
"59","BA",2020-03-03,292,297.440002,278.079987,280.619995,7499300,280.619995
"60","BA",2020-03-04,284.549988,285.910004,277.01001,283.119995,6986100,283.119995
"61","BA",2020-03-05,275.790009,276.309998,259.649994,260.369995,14669100,260.369995
"62","BA",2020-03-06,253.699997,264.290009,249.800003,262.329987,12861800,262.329987
"63","BA",2020-03-09,238,241.479996,224.369995,227.169998,11585500,227.169998
"64","BA",2020-03-10,237,237.830002,215,231.009995,13059600,231.009995
"65","BA",2020-03-11,222.990005,226.990005,187,189.080002,28503500,189.080002
"66","BA",2020-03-12,160.529999,189.850006,154.809998,154.839996,31734400,154.839996
"67","BA",2020-03-13,174.970001,178.279999,161.380005,170.199997,21168500,170.199997
"68","BA",2020-03-16,149.419998,151,128.759995,129.610001,26844400,129.610001
"69","BA",2020-03-17,132.509995,134.960007,101.25,124.139999,54492200,124.139999
"70","BA",2020-03-18,99.860001,107.849998,89,101.889999,61943200,101.889999
"71","BA",2020-03-19,98.800003,103.57,90.349998,97.709999,40210600,97.709999
"72","BA",2020-03-20,99.849998,107,94.279999,95.010002,41370700,95.010002
"73","BA",2020-03-23,98.75,114.489998,93.559998,105.620003,46140100,105.620003
"74","BA",2020-03-24,123.68,127.959999,116.129997,127.68,43683100,127.68
"75","BA",2020-03-25,154.899994,174.770004,141,158.729996,77826000,158.729996
"76","BA",2020-03-26,172.289993,186.479996,167.179993,180.550003,63267300,180.550003
"77","BA",2020-03-27,172,172.919998,155.539993,162,47880200,162
"78","BA",2020-03-30,153.809998,153.809998,140.679993,152.279999,51052500,152.279999
"79","BA",2020-03-31,155,160.639999,149,149.139999,29954000,149.139999
"80","BA",2020-04-01,138.910004,144.380005,130,130.699997,41899700,130.699997
"81","BA",2020-04-02,128.509995,136.679993,120.019997,123.269997,42372400,123.269997
"82","BA",2020-04-03,125,131.289993,122.5,124.519997,37347400,124.519997
