"","Date","^GSPC","CHRW","EXPD","FDX","UPS"
"1","2010-01-01",1073.869995,44.701672,29.808441,72.104439,42.429764
"2","2010-02-01",1104.48999,42.096775,31.880171,78.003502,43.142216
"3","2010-03-01",1169.430054,44.085957,32.273525,85.954765,47.699425
"4","2010-04-01",1186.689941,47.839169,35.586555,82.940269,51.202271
"5","2010-05-01",1089.410034,46.086445,33.427414,76.932365,46.477493
"6","2010-06-01",1030.709961,44.143383,30.329414,64.603256,42.422634
"7","2010-07-01",1101.599976,51.936932,37.474537,76.178421,48.470242
"8","2010-08-01",1049.329956,51.769653,34.802811,72.025726,47.575401
"9","2010-09-01",1141.199951,55.696796,40.629642,78.900703,50.091499
"10","2010-10-01",1183.26001,56.359676,43.380474,81.068054,50.579708
"11","2010-11-01",1180.550049,58.942562,46.491638,84.210197,52.675304
"12","2010-12-01",1257.640015,64.124336,48.167973,86.077492,54.889473
"13","2011-01-01",1286.119995,62.105507,44.700935,83.587997,54.163448
"14","2011-02-01",1327.219971,58.319092,42.169037,83.310349,55.812103
"15","2011-03-01",1325.829956,59.72089,44.242195,86.577248,56.599987
"16","2011-04-01",1363.609985,64.860298,47.87685,88.660416,57.095024
"17","2011-05-01",1345.199951,64.892685,46.597668,86.779152,55.967892
"18","2011-06-01",1320.640015,63.776344,45.375381,87.90049,55.931023
"19","2011-07-01",1292.280029,58.706245,42.299541,80.634331,53.08577
"20","2011-08-01",1218.890015,57.236744,40.331703,73.060959,51.682323
"21","2011-09-01",1131.420044,55.815739,35.94397,62.814594,48.820694
"22","2011-10-01",1253.300049,56.598316,40.420349,76.077042,54.301903
"23","2011-11-01",1246.959961,55.848347,38.567749,77.239159,55.469276
"24","2011-12-01",1257.599976,56.883636,36.529541,77.638924,56.996746
"25","2012-01-01",1312.410034,56.396416,39.820419,85.192207,58.912483
"26","2012-02-01",1365.680054,54.209053,38.955326,83.795433,59.955994
"27","2012-03-01",1408.469971,53.917767,41.479221,85.629845,63.331219
"28","2012-04-01",1397.910034,49.183811,35.673389,82.285072,61.306988
"29","2012-05-01",1310.329956,47.965332,34.112671,83.124359,58.796352
"30","2012-06-01",1362.160034,48.450726,34.808041,85.427681,62.253384
"31","2012-07-01",1379.319946,43.748852,31.951536,84.343071,59.763542
"32","2012-08-01",1406.579956,46.861362,32.885746,81.849213,58.340813
