"","symbol","date","open","high","low","close","volume","adjusted"
"1","ALK",2019-12-06,67.870003,68.470001,67.370003,68.32,834800,67.934738
"2","ALK",2019-12-09,68.029999,68.239998,67.860001,67.989998,860100,67.606598
"3","ALK",2019-12-10,67.309998,67.980003,66.849998,67.239998,744700,66.860825
"4","ALK",2019-12-11,67.330002,67.57,66.599998,66.739998,854000,66.363647
"5","ALK",2019-12-12,67.419998,68.470001,67.169998,67.690002,1553800,67.308296
"6","ALK",2019-12-13,67.440002,67.660004,66.290001,67.410004,1120700,67.029877
"7","ALK",2019-12-16,67.809998,69.139999,67.809998,69,1220300,68.610901
"8","ALK",2019-12-17,68.940002,70.25,68.730003,70.059998,1545300,69.664925
"9","ALK",2019-12-18,70.410004,70.410004,68.540001,69.029999,1807200,68.640732
"10","ALK",2019-12-19,69.010002,69.279999,68.660004,69.199997,1106000,68.809776
"11","ALK",2019-12-20,69.620003,69.620003,69,69.339996,1401900,68.948982
"12","ALK",2019-12-23,69.629997,69.629997,68.93,69.290001,1099200,68.899269
"13","ALK",2019-12-24,69.580002,69.580002,68.779999,69.089996,360800,68.700394
"14","ALK",2019-12-26,69.18,69.589996,68.75,69.07,519600,68.680511
"15","ALK",2019-12-27,69.239998,69.300003,68.120003,68.290001,1011800,67.904907
"16","ALK",2019-12-30,68.169998,68.300003,67.330002,67.68,861800,67.298347
"17","ALK",2019-12-31,67.559998,68.160004,67.559998,67.75,735300,67.36795
"18","ALK",2020-01-02,68.150002,68.790001,67.620003,68.169998,1396600,67.785583
"19","ALK",2020-01-03,66.800003,67.110001,66.019997,66.919998,1404600,66.542633
"20","ALK",2020-01-06,66.089996,66.889999,66.019997,66.599998,1342700,66.224434
"21","ALK",2020-01-07,66.559998,66.82,66.059998,66.18,1041500,65.806808
"22","ALK",2020-01-08,66.029999,67.589996,66.019997,66.5,1438500,66.125
"23","ALK",2020-01-09,67.019997,67.019997,66.199997,66.370003,1140400,65.995735
"24","ALK",2020-01-10,66.599998,66.699997,65.82,65.889999,1007600,65.51844
"25","ALK",2020-01-13,65.839996,66.190002,65.639999,65.870003,629500,65.498558
"26","ALK",2020-01-14,66.760002,67.449997,66.019997,66.18,994700,65.806808
"27","ALK",2020-01-15,66.010002,67.059998,65.959999,66.589996,782300,66.214493
